h_max,T_leid,T_nucl,h_conv,HRC_surf_mean,HRC_center,delta_T_max,gradient_max,t_total
3000.0,200.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
3000.0,275.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
3000.0,350.0,100.0,3000.0,30.994,30.176,65.76,1.629e+04,50.000
3000.0,425.0,100.0,3000.0,33.573,32.234,78.42,1.939e+04,50.000
3000.0,500.0,100.0,3000.0,35.599,34.112,91.18,2.253e+04,46.100
6000.0,200.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
6000.0,275.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
6000.0,350.0,100.0,3000.0,43.050,39.534,92.53,2.400e+04,50.000
6000.0,425.0,100.0,3000.0,48.608,43.504,110.68,2.856e+04,46.560
6000.0,500.0,100.0,3000.0,52.070,47.026,128.98,3.317e+04,40.310
9000.0,200.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
9000.0,275.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
9000.0,350.0,100.0,3000.0,54.625,48.285,111.06,3.005e+04,50.000
9000.0,425.0,100.0,3000.0,56.879,53.998,132.93,3.575e+04,44.200
9000.0,500.0,100.0,3000.0,57.243,57.243,154.98,4.151e+04,37.830
12000.0,200.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
12000.0,275.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
12000.0,350.0,100.0,3000.0,57.243,56.614,126.26,3.525e+04,50.000
12000.0,425.0,100.0,3000.0,57.243,57.243,151.09,4.192e+04,42.810
12000.0,500.0,100.0,3000.0,57.243,57.243,176.13,4.868e+04,36.370
15000.0,200.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
15000.0,275.0,100.0,3000.0,25.470,24.702,52.67,1.610e+04,50.000
15000.0,350.0,100.0,3000.0,57.243,57.243,139.58,3.987e+04,49.660
15000.0,425.0,100.0,3000.0,57.243,57.243,166.97,4.743e+04,41.860
15000.0,500.0,100.0,3000.0,57.243,57.243,194.61,5.507e+04,35.380
